unix,date,symbol,open,high,low,close,Volume BTC,Volume USD
1515669120,2018-01-11T11:12:00.0000000Z,BTC-USDT,13356.7,13369.3,13312.5,13319,17.428521,232130.471199
1515669180,2018-01-11T11:13:00.0000000Z,BTC-USDT,13319,13319,13319,13319,1.8623945,24805.2323455
1515669240,2018-01-11T11:14:00.0000000Z,BTC-USDT,13319,13369.3,13319,13346.2,15.199357,202853.6583934
1515669300,2018-01-11T11:15:00.0000000Z,BTC-USDT,13346.3,13346.3,13346.3,13346.3,2.84795699,38009.688375637
1515669360,2018-01-11T11:16:00.0000000Z,BTC-USDT,13346.3,13346.3,13346.3,13346.3,3.89431249,51974.662785287
1515669420,2018-01-11T11:17:00.0000000Z,BTC-USDT,13346.3,13346.3,13273,13273.8,15.440751,204957.4406238
1515669480,2018-01-11T11:18:00.0000000Z,BTC-USDT,13273,13280.3,13258.2,13274.8,9.4187515,125032.04241220
1515669540,2018-01-11T11:19:00.0000000Z,BTC-USDT,13274.8,13274.8,13230,13230,6.40760249,84772.58094270
1515669600,2018-01-11T11:20:00.0000000Z,BTC-USDT,13231.7,13311.9,13231.7,13311.9,5.42991,72282.418929
1515669660,2018-01-11T11:21:00.0000000Z,BTC-USDT,13311.9,13311.9,13274.4,13274.4,3.66766899,48686.105240856
1515669720,2018-01-11T11:22:00.0000000Z,BTC-USDT,13274.4,13294.4,13260.6,13294.4,8.16894049,108601.162450256
1515669780,2018-01-11T11:23:00.0000000Z,BTC-USDT,13294.4,13348.2,13294.4,13348.2,3.33379949,44500.222352418
1515669840,2018-01-11T11:24:00.0000000Z,BTC-USDT,13348.2,13365.9,13348,13348,10.53634299,140639.10623052
1515669900,2018-01-11T11:25:00.0000000Z,BTC-USDT,13348,13348,13318.8,13321.3,7.48677299,99733.549031687
1515669960,2018-01-11T11:26:00.0000000Z,BTC-USDT,13324.2,13332.4,13310.1,13311,1.93644199,25775.97932889
1515670020,2018-01-11T11:27:00.0000000Z,BTC-USDT,13311,13333.9,13311,13322.1,5.20261699,69309.783802479
1515670080,2018-01-11T11:28:00.0000000Z,BTC-USDT,13322.1,13322.1,13322.1,13322.1,1.89091799,25190.998554579
1515670140,2018-01-11T11:29:00.0000000Z,BTC-USDT,13322.1,13348.2,13322.1,13330,1.85518149,24729.56926170
1515670200,2018-01-11T11:30:00.0000000Z,BTC-USDT,13329.8,13329.8,13291.8,13292.1,5.07042649,67396.615947729
1515670260,2018-01-11T11:31:00.0000000Z,BTC-USDT,13292.1,13292.1,13292.1,13292.1,5.2603065,69920.52002865
1515670320,2018-01-11T11:32:00.0000000Z,BTC-USDT,13292.1,13292.1,13292.1,13292.1,4.03608799,53648.085171879
1515670380,2018-01-11T11:33:00.0000000Z,BTC-USDT,13292.1,13292.1,13238,13246.8,8.39550799,111213.615241932
1515670440,2018-01-11T11:34:00.0000000Z,BTC-USDT,13246.8,13246.8,13133.5,13229.4,4.7109315,62322.79718610
1515670500,2018-01-11T11:35:00.0000000Z,BTC-USDT,13229.4,13235.2,13204.4,13218.4,8.05665349,106496.068492216
1515670560,2018-01-11T11:36:00.0000000Z,BTC-USDT,13216.9,13216.9,13178.9,13178.9,4.5160915,59517.11826935
1515670620,2018-01-11T11:37:00.0000000Z,BTC-USDT,13178.9,13178.9,13154.5,13178.8,6.085,80192.9980
1515670680,2018-01-11T11:38:00.0000000Z,BTC-USDT,13178.8,13178.8,13146.3,13167.9,8.896484,117148.0116636
1515670740,2018-01-11T11:39:00.0000000Z,BTC-USDT,13167.9,13192,13167.9,13192,9.750028,128622.369376
1515670800,2018-01-11T11:40:00.0000000Z,BTC-USDT,13192,13246.8,13192,13246.8,5.41750849,71764.651465332
1515670860,2018-01-11T11:41:00.0000000Z,BTC-USDT,13246.6,13285.7,13246.6,13278.9,5.326137,70725.2406093
1515670920,2018-01-11T11:42:00.0000000Z,BTC-USDT,13285.7,13319.2,13285.7,13299,9.866813,131218.746087
1515670980,2018-01-11T11:43:00.0000000Z,BTC-USDT,13299,13359.3,13298.6,13357.7,13.40979249,179123.985143673
1515671040,2018-01-11T11:44:00.0000000Z,BTC-USDT,13357.7,13451.3,13357.7,13428.3,7.76136199,104221.897210317
