unix,date,symbol,open,high,low,close,Volume BTC,Volume USD
1548979200,2019-02-01T00:00:00.0000000Z,BTC-USDT,3434.8,3436,3433.3,3435.1,9.34727664,32108.829986064
1548979260,2019-02-01T00:01:00.0000000Z,BTC-USDT,3435.1,3441,3435.1,3436.8,14.38894971,49451.942363328
1548979320,2019-02-01T00:02:00.0000000Z,BTC-USDT,3437,3439.2,3436.3,3438.5,12.27873705,42220.437346425
1548979380,2019-02-01T00:03:00.0000000Z,BTC-USDT,3438.4,3439,3438.1,3438.3,3.54821513,12199.828081479
1548979440,2019-02-01T00:04:00.0000000Z,BTC-USDT,3438.1,3440,3436.6,3436.7,21.72019645,74645.799139715
1548979500,2019-02-01T00:05:00.0000000Z,BTC-USDT,3437.6,3441.8,3437.4,3440.4,10.71693083,36870.528827532
1548979560,2019-02-01T00:06:00.0000000Z,BTC-USDT,3440.9,3440.9,3437.9,3438.7,4.4483821,15296.65152727
1548979620,2019-02-01T00:07:00.0000000Z,BTC-USDT,3438.2,3438.5,3436.8,3436.9,3.50931639,12061.169500791
1548979680,2019-02-01T00:08:00.0000000Z,BTC-USDT,3436.9,3437.8,3436.2,3436.2,1.35611138,4659.869923956
1548979740,2019-02-01T00:09:00.0000000Z,BTC-USDT,3436.2,3436.3,3435.9,3436,4.66327381,16023.00881116
1548979800,2019-02-01T00:10:00.0000000Z,BTC-USDT,3434.9,3437,3434.5,3436.6,10.97050975,37701.253806850
1548979860,2019-02-01T00:11:00.0000000Z,BTC-USDT,3437.1,3438,3436,3436.2,4.12959669,14190.120146178
1548979920,2019-02-01T00:12:00.0000000Z,BTC-USDT,3436.9,3437.9,3436.4,3436.7,4.38971427,15086.131031709
1548979980,2019-02-01T00:13:00.0000000Z,BTC-USDT,3436.7,3437,3432.2,3432.5,13.89752415,47703.251644875
1548980040,2019-02-01T00:14:00.0000000Z,BTC-USDT,3432.3,3436,3432.1,3435.6,10.81956482,37171.696895592
1548980100,2019-02-01T00:15:00.0000000Z,BTC-USDT,3434.9,3435.6,3434.3,3434.4,7.80870975,26818.232765400
1548980160,2019-02-01T00:16:00.0000000Z,BTC-USDT,3434.4,3434.9,3432.8,3434,3.36410931,11552.35137054
1548980220,2019-02-01T00:17:00.0000000Z,BTC-USDT,3433.6,3435.8,3432.6,3435.1,9.65564017,33168.089547967
1548980280,2019-02-01T00:18:00.0000000Z,BTC-USDT,3435.7,3435.8,3432.1,3434,8.9834195,30849.0625630
1548980340,2019-02-01T00:19:00.0000000Z,BTC-USDT,3433.3,3433.8,3431.1,3431.9,7.51667061,25796.461866459
1548980400,2019-02-01T00:20:00.0000000Z,BTC-USDT,3431.9,3432.6,3430.4,3430.8,10.25051094,35167.452932952
1548980460,2019-02-01T00:21:00.0000000Z,BTC-USDT,3430.8,3431.2,3430.2,3430.6,1.05696036,3626.008211016
1548980520,2019-02-01T00:22:00.0000000Z,BTC-USDT,3431.1,3431.1,3428.8,3429.2,9.43766685,32363.647162020
1548980580,2019-02-01T00:23:00.0000000Z,BTC-USDT,3428.7,3436.3,3428.7,3433.2,18.88311979,64829.526863028
1548980640,2019-02-01T00:24:00.0000000Z,BTC-USDT,3433.2,3434.8,3427.6,3428.8,12.85325487,44071.240298256
1548980700,2019-02-01T00:25:00.0000000Z,BTC-USDT,3430,3432.8,3428.3,3429.5,9.92196662,34027.384523290
1548980760,2019-02-01T00:26:00.0000000Z,BTC-USDT,3428.3,3431.3,3428.2,3429.5,4.76872859,16354.354699405
1548980820,2019-02-01T00:27:00.0000000Z,BTC-USDT,3429.6,3434,3428.7,3432.3,7.54246804,25888.013053692
1548980880,2019-02-01T00:28:00.0000000Z,BTC-USDT,3432.7,3433.2,3429.3,3430.2,10.84687527,37206.951551154
1548980940,2019-02-01T00:29:00.0000000Z,BTC-USDT,3430.2,3431.7,3429.9,3430.6,2.86108928,9815.252883968
1548981000,2019-02-01T00:30:00.0000000Z,BTC-USDT,3430.6,3432.4,3430.3,3430.6,6.4917586,22270.62705316
1548981060,2019-02-01T00:31:00.0000000Z,BTC-USDT,3430.3,3431.8,3429.3,3430.5,16.18477602,55521.874136610
1548981120,2019-02-01T00:32:00.0000000Z,BTC-USDT,3430.1,3431.7,3429.8,3430.6,6.81810384,23390.187033504
1548981180,2019-02-01T00:33:00.0000000Z,BTC-USDT,3430.7,3432.6,3430.6,3431.9,2.9903916,10262.72493204
1548981240,2019-02-01T00:34:00.0000000Z,BTC-USDT,3431.9,3433.3,3431.9,3433.3,3.83140937,13154.377790021
1548981300,2019-02-01T00:35:00.0000000Z,BTC-USDT,3433.3,3433.9,3433.3,3433.9,3.78455134,12995.770846426
1548981360,2019-02-01T00:36:00.0000000Z,BTC-USDT,3433.9,3435.4,3433.5,3434.7,4.81012675,16521.342348225
1548981420,2019-02-01T00:37:00.0000000Z,BTC-USDT,3435.4,3435.4,3432.4,3432.9,4.59738478,15782.362211262
1548981480,2019-02-01T00:38:00.0000000Z,BTC-USDT,3432.3,3432.8,3431.2,3432.1,5.96062448,20457.459277808
1548981540,2019-02-01T00:39:00.0000000Z,BTC-USDT,3432.1,3432.4,3431.2,3432.1,2.49621074,8567.244880754
1548981600,2019-02-01T00:40:00.0000000Z,BTC-USDT,3432.2,3432.8,3431.4,3432.8,7.17732101,24638.307563128
1548981660,2019-02-01T00:41:00.0000000Z,BTC-USDT,3432.7,3433.8,3432.1,3433.7,5.03409613,17285.575881581
1548981720,2019-02-01T00:42:00.0000000Z,BTC-USDT,3433.7,3434.7,3433.6,3434.1,6.49951512,22319.984873592
